Country,Crop,Year,Yield,Region,latitude,longitude,Current Average Temperature (dC)_area_weighted,Current Average Temperature_point_coordinate (dC),Current Annual Precipitation (mm) _area_weighted,Current Annual Precipitation  (mm) _point_coordinate,Future_Mid-point,Climate scenario,Scenario source,Local delta T,Local delta T from 2005,Annual Precipitation change each study  (mm),Annual Precipitation change  from 2005 (mm),Global delta T from pre-industrial period,Global delta T from 2005,Projected yield (t/ha),Climate impacts (%),Climate impacts relative to 2005,Climate impacts per dC (%),Climate impacts per decade (%),CO2,CO2 ppm,Fertiliser,Irrigation,Cultivar,Soil organic matter management,Planting time,Tillage,Others,Adaptation,Adaptation type,Seasonal Precipitation change (mm) each study (local baseperiod),Base precipitation (annual) (mm) (local base period),Annual Preciptation change (%) (relative to local base),Base precipitation (seasonal) (mm) (local base period)
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP2.6,CMIP5,0.866,0.866,18.26,18.26,1.587,0.797,2.3164,8.96035,8.96035,10.34682448,3.58414,Yes,429.9,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP4.5,CMIP5,1.021,1.021,11.3212,11.3212,1.572,0.782,2.2777,8.85224,8.85224,8.670166503,3.540896,Yes,436.55,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP8.5,CMIP5,1.234,1.234,-32.5028,-32.5028,1.728,0.938,2.2609,8.76501,8.76501,7.102925446,3.506004,Yes,451.9,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP2.6,CMIP5,0.866,0.866,18.26,18.26,1.587,0.797,2.4261,12.8062,12.8062,14.78775982,5.12248,Yes,429.9,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP4.5,CMIP5,1.021,1.021,11.3212,11.3212,1.572,0.782,2.4051,13.5413,13.5413,13.26278159,5.41652,Yes,436.55,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2030,RCP8.5,CMIP5,1.234,1.234,-32.5028,-32.5028,1.728,0.938,2.421,15.0147,15.0147,12.16750405,6.00588,Yes,451.9,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP2.6,CMIP5,1.142,1.142,12.782,12.782,1.791,1.001,2.5586,10.1663,10.1663,8.902189142,2.259177778,Yes,442.15,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP4.5,CMIP5,1.867,1.867,2.1912,2.1912,2.094,1.304,2.3679,5.38077,5.38077,2.882040707,1.195726667,Yes,487.15,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP8.5,CMIP5,2.434,2.434,-14.608,-14.608,2.593,1.803,2.3036,5.64879,5.64879,2.320784717,1.255286667,Yes,545.35,No,No,No,No,No,No,No,No,No,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP2.6,CMIP5,1.142,1.142,12.782,12.782,1.791,1.001,2.7153,15.6146,15.6146,13.67302977,3.469911111,Yes,442.15,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP4.5,CMIP5,1.867,1.867,2.1912,2.1912,2.094,1.304,2.6222,15.0395,15.0395,8.055436529,3.342111111,Yes,487.15,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
Afghanistan,Maize,2005,1.206896552,Asia,33.9391,67.71,11.78820009,4.248813152,320.0062099,478.3729417,2050,RCP8.5,CMIP5,2.434,2.434,-14.608,-14.608,2.593,1.803,2.6671,20.4109,20.4109,8.385743632,4.535755556,Yes,545.35,Yes,No,Yes,No,Yes,No,No,Yes,Combined,0.0,0.0,0.0,0.0
